surah_no,ayah_no,text
1,1,"أي: أبتدئ بكل اسم لله تعالى؛ لأن لفظ «اسم» مفرد مضاف، فيعم جميع الأسماء الحسنى. {الله}: هو المألوه المعبود المستحق لإفراده بالعبادة، لما اتصف به من صفات الألوهية وهي:صفات الكمال.{الرحمن الرحيم}: اسمان دالان على أنه تعالى ذو الرحمة الواسعة العظيمة التي وسعت كل شيء، وعمت كل حي، وكتبها للمتقين المتبعين لأنبيائه ورسله؛ فهؤلاء لهم الرحمة المطلقة، ومن عداهم فله نصيب منها.
واعلم: أن من القواعد المتفق عليها بين سلف الأمة، وأئمتها، الإيمان بأسماء الله وصفاته وأحكام الصفات، فيؤمنون مثلاً بأنه رحمن رحيم ذو الرحمة التي اتصف بها المتعلقة بالمرحوم، فالنعم كلها أثر من آثار رحمته، وهكذا في سائر الأسماء.
يقال في العليم: إنه عليم ذو علم يعلم به كل شيء، قدير ذو قدرة يقدر على كل شيء."
1,2,"{الحمد لله} هو: الثناء على الله بصفات الكمال، وبأفعاله الدائرة بين الفضل والعدل، فله الحمد الكامل بجميع الوجوه. {رب العالمين} الربُّ: هو المربي جميع العالمين، وهم من سوى الله بخلقه لهم، وإعداده لهم الآلات، وإنعامه عليهم بالنعم العظيمة، التي لو فقدوها لم يمكن لهم البقاء، فما بهم من نعمة فمنه تعالى.
وتربيته تعالى لخلقه نوعان: عامة وخاصة: فالعامة هي: خلقه للمخلوقين ورزقهم وهدايتهم لما فيه مصالحهم التي فيها بقاؤهم في الدنيا، والخاصة: تربيته لأوليائه، فيربيهم بالإيمان، ويوفقهم له، ويكملهم ، ويدفع عنهم الصوارف والعوائق الحائلة بينهم وبينه. وحقيقتها: تربية التوفيق لكل خير والعصمة من كل شر، ولعل هذا المعنى هو السرُّ في كون أكثر أدعية الأنبياء بلفظ الربِّ، فإن مطالبهم كلها داخلة تحت ربوبيته الخاصة؛ فدل قوله:{رب العالمين} على انفراده بالخلق، والتدبير، والنعم، وكمال غناه، وتمام فقر العالمين إليه بكل وجه واعتبار."
1,3,1:1
1,4,"{مالك يوم الدين} المالك: هو من اتصف بصفة الملك التي من آثارها أنه يأمر وينهى، ويثيب ويعاقب، ويتصرف بمماليكه بجميع أنواع التصرفات
وأضاف الملك ليوم الدين، وهو يوم القيامة، يوم يدان الناس فيه بأعمالهم خيرها وشرها؛ لأن في ذلك اليوم يظهر للخلق تمام الظهور، كمال ملكه وعدله وحكمته وانقطاع أملاك الخلائق، حتى أنه يستوي في ذلك اليوم الملوك والرعايا والعبيد والأحرار، كلهم مذعنون لعظمته خاضعون لعزته منتظرون لمجازاته راجون ثوابه خائفون من عقابه، فلذلك خصه بالذكر، وإلا فهو المالك ليوم الدين وغيره من الأيام."
1,5,"وقوله: {إياك نعبد وإياك نستعين}؛ أي: نخصك وحدك بالعبادة والاستعانة، لأن تقديم المعمول يفيد الحصر وهو إثبات الحكم للمذكور ونفيه عمّا عداه؛ فكأنه يقول: نعبدك، ولا نعبد غيرك، ونستعين بك، ولا نستعين بغيرك، وتقديم العبادة على الاستعانة من باب تقديم العام على الخاص، واهتماماً بتقديم حقه تعالى على حق عبده.
والعبادة: اسم جامع لِمَا يحبه الله ويرضاه من الأعمال والأقوال الظاهرة والباطنة، والاستعانة هي: الاعتماد على الله تعالى في جلب المنافع ودفع المضار، مع الثقة به في تحصيل ذلك.
والقيام بعبادة الله والاستعانة به هو الوسيلة للسعادة الأبدية والنجاة من جميع الشرور، فلا سبيل إلى النجاة إلا بالقيام بهما، وإنما تكون العبادة عبادةً إذا كانت مأخوذة عن رسول الله - صلى الله عليه وسلم - مقصوداً بها وجه الله، فبهذين الأمرين تكون عبادة، وذكر الاستعانة بعد العبادة مع دخولها فيها؛ لاحتياج العبد في جميع عباداته إلى الاستعانة بالله تعالى؛ فإنه إن لم يعنه الله لم يحصل له ما يريده من فعل الأوامر واجتناب النواهي.
ثم قال تعالى:"
1,6,"{اهدنا الصراط المستقيم}؛ أي: دلنا وأرشدنا، ووفقنا إلى الصراط المستقيم، وهو الطريق الواضح الموصل إلى الله وإلى جنته، وهو معرفة الحق والعمل به، فاهدنا إلى الصراط، واهدنا في الصراط، فالهداية إلى الصراط لزوم دين الإسلام وترك ما سواه من الأديان، والهداية في الصراط تشمل الهداية لجميع التفاصيل الدينية علماً وعملاً؛ فهذا الدعاء من أجمع الأدعية وأنفعها للعبد؛ ولهذا وجب على الإنسان أن يدعو الله به في كل ركعة من صلاته لضرورته إلى ذلك؛ وهذا الصراط المستقيم هو:"
1,7,"{صراط الذين أنعمت عليهم} من النبيين والصديقين والشهداء والصالحين {غير} صراط {المغضوب عليهم} الذي عرفوا الحق وتركوه كاليهود ونحوهم، وغير صراط {الضالين} الذين تركوا الحق على جهل وضلال كالنصارى ونحوهم.
فهذه السورة على إيجازها قد احتوت على ما لم تحتو عليه سورة من سور القرآن، فتضمنت أنواع التوحيد الثلاثة: توحيد الربوبية يؤخذ من قوله: {رب العالمين}، وتوحيد الإلهية وهو إفراد الله بالعبادة يؤخذ من لفظ {الله} ومن قوله: {إياك نعبد وإياك نستعين }، وتوحيد الأسماء والصفات وهو إثبات صفات الكمال لله تعالى التي أثبتها لنفسه وأثبتها له رسوله من غير تعطيل ولا تمثيل ولا تشبيه، وقد دل على ذلك لفظ {الحمد} كما تقدم.
وتضمنت إثبات النبوة في قوله:{اهدنا الصراط المستقيم} لأن ذلك ممتنع بدون الرسالة.
وإثبات الجزاء على الأعمال في قوله:{مالك يوم الدين} وأن الجزاء يكون بالعدل لأن الدين معناه الجزاء بالعدل.
وتضمنت إثبات القدر وأن العبد فاعل حقيقة خلافاً للقدرية والجبرية.
بل تضمنت الرد على جميع أهل البدع والضلال في قوله:{اهدنا الصراط المستقيم}؛ لأنه معرفة الحق والعمل به. وكل مبتدعٍ وضالٍّ فهو مخالف لذلك.
وتضمنت إخلاص الدين لله تعالى عبادة واستعانة في قوله:{إياك نعبد وإياك نستعين}. فالحمد لله رب العالمين."
2,1,"وأما الحروف المقطَّعة في أوائل السورة ؛ فالأسلم فيها السكوت عن
التعرُّض لمعناها من غير مستند شرعي، مع الجزم بأن الله تعالى لم ينزلها عبثاً، بل لحكمة لا نعلمها."
2,2,"وقوله: {ذلك الكتاب}؛ أي: هذا الكتاب العظيم، الذي هو الكتاب على الحقيقة، المشتمل على ما لم
تشتمل عليه كتب المتقدمين والمتأخرين من العلم العظيم والحقِّ المبين؛ {لا ريب فيه}
فلا ريب فيه ولا شكَّ بوجه من الوجوه، ونفي الرَّيب عنه يستلزم ضده إذ ضد الريب والشك اليقين، فهذا
الكتاب مشتمل على علم اليقين المزيل للشك والريب.
وهذه قاعدة مفيدة أن النفي المقصود به المدح لا بد أن يكون متضمناً لضده وهو الكمال؛ لأن النفي عدم،
والعدم المحض لا مدح فيه، فلما اشتمل على اليقين وكانت الهداية لا تحصل إلا باليقين؛ قال:{هدىً للمتقين}، والهدى ما تحصل به
الهداية من الضلالة والشُّبَه، وما به الهداية إلى سلوك الطرق النافعة.
وقال:{هدى} وحذف المعمولَ، فلم يقل: هدى للمصلحة الفلانية ولا
للشيء الفلاني؛ لإرادة العموم وأنه هدى لجميع مصالح الدارين، فهو مرشدٌ للعباد في المسائل الأصولية
والفروعية، ومبين للحق من الباطل والصحيح من الضعيف، ومبين لهم كيف يسلكون الطرق النافعة لهم في
دنياهم وأخراهم. وقال في موضع آخر:{هدى للناس} فعمَّم، وفي هذا الموضع وغيره:{هدى للمتقين} لأنه في نفسه هدى لجميع الناس ، فالأشقياء لم يرفعوا به
رأساً ولم يقبلوا هدى الله، فقامت عليهم به الحجة، ولم ينتفعوا به لشقائهم.
وأما المتقون الذين أتوا بالسبب الأكبر لحصول الهداية وهو التقوى التي حقيقتها: اتخاذ ما يقي سخط الله وعذابه بامتثال
أوامره، واجتناب النواهي، فاهتدوا به، وانتفعوا غاية الانتفاع، قال تعالى:{يا أيها الذين آمنوا إن تتقوا الله يجعل لكم فرقاناً} فالمتقون هم
المنتفعون بالآيات القرآنية والآيات الكونية.
ولأن الهداية نوعان: هداية البيان، وهداية التوفيق، فالمتقون حصلت لهم الهدايتان وغيرهم لم تحصل لهم هداية التوفيق،
وهداية البيان بدون توفيق للعمل بها ليست هداية حقيقية تامة.
ثم وصف المتقين بالعقائد والأعمال الباطنة والأعمال الظاهرة لتضمن التقوى لذلك فقال:"
2,3,"{الذين يؤمنون بالغيب} حقيقة
الإيمان هو التصديق التام بما أخبرت به الرسل، المتضمن لانقياد الجوارح، وليس الشأن في الإيمان
بالأشياء المشاهدة بالحسِّ، فإنه لا يتميز بها المسلم من الكافر، إنما الشأنُ في الإيمان بالغيب
الذي لم نره ولم نشاهده، وإنما نؤمن به لخبر الله وخبر رسوله.
فهذا الإيمان الذي يميز به المسلم من الكافر؛ لأنه تصديق مجرد لله ورسله، فالمؤمن يؤمن بكل ما أخبر
الله به، أو أخبر به رسوله سواء شاهده أو لم يشاهده، وسواء فهمه وعقله، أو لم يهتدِ إليه عقله
وفهمه، بخلاف الزنادقة المكذبين بالأمور الغيبية لأن عقولهم القاصرة المقصرة لم تهتدِ إليها فكذبوا
بما لم يحيطوا بعلمه؛ ففسدت عقولهم، ومرجت أحلامهم؛ وزكت عقول المؤمنين المصدقين المهتدين بهدى
الله.
ويدخل في الإيمان بالغيب الإيمان بجميع ما أخبر الله به من الغيوب الماضية والمستقبلة وأحوال الآخرة
وحقائق أوصاف الله وكيفيتها وما أخبرت به الرسل من ذلك، فيؤمنون بصفات الله ووجودها، ويتيقنونها وإن
لم يفهموا كيفيتها.
ثم قال:{ويقيمون الصلاة} لم يقل: يفعلون الصلاة؛ أو يأتون بالصلاة لأنه لا يكفي فيها
مجرد الإتيان بصورتها الظاهرة، فإقامة الصلاة، إقامتها ظاهراً، بإتمام أركانها وواجباتها وشروطها،
وإقامتها باطناً ، بإقامة روحها وهو حضور القلب فيها وتدبر ما يقول ويفعله منها، فهذه الصلاة هي التي قال الله فيها:{إن الصلاة تنهى عن الفحشاء والمنكر} وهي التي يترتب عليها الثواب،
فلا ثواب للعبد من صلاته إلا ما عقل منها، ويدخل في الصلاة فرائضها ونوافلها.
ثم قال:{ومما رزقناهم ينفقون} يدخل فيه النفقات الواجبة؛ كالزكاة، والنفقة على الزوجات
والأقارب والمماليك ونحو ذلك، والنفقات المستحبة بجميع طرق الخير، ولم يذكر المنفَق عليه لكثرة
أسبابه وتنوع أهله، ولأن النفقة من حيث هي قربة إلى الله، وأتى «بِمِن»
الدالة على التبعيض؛ لينبههم أنه لم يرد منهم إلا جزءاً يسيراً من أموالهم غير ضار لهم، ولا مثقل بل
ينتفعون هم بإنفاقه، وينتفع به إخوانهم، وفي قوله:{رزقناهم}
إشارة إلى أن هذه الأموال التي بين أيديكم ليست حاصلة بقوتكم وملككم، وإنما هي رزق الله الذي خوّلكم
وأنعم به عليكم، فكما أنعم عليكم وفضلكم على كثير من عباده فاشكروه بإخراج بعض ما أنعم به عليكم،
وواسوا إخوانكم المعدمين.
وكثيراً ما يجمع تعالى بين الصلاة والزكاة في القرآن؛ لأن الصلاة متضمنة للإخلاص للمعبود، والزكاة
والنفقة متضمنة للإحسان على عبيده؛ فعنوان سعادة العبد إخلاصه للمعبود وسعيه في نفع الخلق، كما أن
عنوان شقاوة العبد عدم هذين الأمرين منه فلا إخلاص ولا إحسان."
